,mof,conc,p,ad,q,std,heat,status,coul,vdw
102,KIYMAI_clean_min_charges,0,500000,ethene,0.1134466862,0.0021994781,-19.20405,finished,0.00000,-6784.368392
103,KIYMAI_clean_min_charges,0,750000,ethene,0.1628687907,0.0028557682,-19.22327,finished,0.00000,-9920.014682
104,KIYMAI_clean_min_charges,0,1000000,ethene,0.2083400091,0.0018555463,-19.24643,finished,0.00000,-12940.401558
105,KIYMAI_clean_min_charges,0,1,ethane,1.105e-07,3.521e-07,,finished,0.00000,-0.008322
106,KIYMAI_clean_min_charges,0,10,ethane,1.0019e-06,8.381e-07,-19.93258,finished,0.00000,-0.082074
107,KIYMAI_clean_min_charges,0,100,ethane,3.7028e-06,4.2001e-06,-18.78634,finished,0.00000,-0.537173
108,KIYMAI_clean_min_charges,0,1000,ethane,2.28346e-05,1.37677e-05,-18.34571,finished,0.00000,-4.751817
109,KIYMAI_clean_min_charges,0,5000,ethane,6.41013e-05,2.06014e-05,-18.34426,finished,0.00000,-21.757394
110,KIYMAI_clean_min_charges,0,10000,ethane,0.0001543075,5.65055e-05,-18.24972,finished,0.00000,-44.364076
111,KIYMAI_clean_min_charges,0,25000,ethane,0.0003684455,5.96046e-05,-18.31706,finished,0.00000,-110.633465
112,KIYMAI_clean_min_charges,0,50000,ethane,0.0007316989,0.000201396,-18.33838,finished,0.00000,-221.365717
113,KIYMAI_clean_min_charges,0,66700,ethane,0.0008820122,0.0001234672,-18.28375,finished,0.00000,-291.429162
114,KIYMAI_clean_min_charges,0,75000,ethane,0.0010100353,0.0001431648,-18.3026,finished,0.00000,-328.659146
115,KIYMAI_clean_min_charges,0,100000,ethane,0.0013474965,0.0002605213,-18.28102,finished,0.00000,-438.735043
116,KIYMAI_clean_min_charges,0,250000,ethane,0.0025819883,0.0008132784,-18.28461,finished,0.00000,-1077.576206
117,KIYMAI_clean_min_charges,0,500000,ethane,0.0036918729,0.0017010743,-18.30922,finished,0.00000,-2142.176534
