MOF,Eform,Efermi,K,G
GUXLIU,-2.1080444,-0.7241039,42.5533648035223,21.7577777523908
GUYLOC,-0.35568115,-0.8476577,20.7817571867267,10.8862869568553
GUYLUI,-0.39695904,-0.21976662,17.7021547339886,9.57647549787943
GUYLUI01,-0.3979058,-0.24549794,17.7615784670394,9.55310389019168
GUYMAP,-0.35816717,-0.8787985,20.9735162796861,10.6763771069737
HABRIN,-0.3736722,-0.936784,21.6180766263568,12.7312251942308
HAFQOW,-0.84046113,-1.102637,24.5110736661875,12.6264852977504
HAFQUC,-0.90214056,-1.5268772,24.4250724302675,13.5072764664158
HAMJOW,-0.51927805,-3.0004165,40.7741299472474,14.9550667513292
HAZNON,-0.488289,-1.0418859,16.6554383580353,8.04189786180019
HEGJUZ,-0.38956615,-1.3557279,20.8297749592546,12.5787264881893
HEKTUO,-0.5507076,-0.76788497,18.1853987761452,12.5530954099197
HEXNII,-0.11058119,-0.48702002,16.0139434671397,7.34874239337453
HEZKIH,-0.60539705,-1.6381147,21.5797418270488,13.0124877145403
HICVUM,-0.38100615,-1.6639268,37.2496885869569,15.619463065742
HIFTOG,-0.7125816,-2.0336206,35.6800148858529,16.3186472447556
HIFTOG01,-0.6911127,-3.3280475,41.0654657905709,14.3949578238849
HIFTOG02,-0.7125974,-2.0299585,35.6983633719426,16.3302975759658
HIFVOI,-0.11407089,-1.5807221,51.0430392163734,10.5891121413093
HIHGOW,-0.39324877,-1.6902544,21.5535466351556,11.6589854907056
HIMSAY,0.006769415,-3.3864348,39.928846943391,19.2264432157278
HOWPOZ,-0.48262572,-1.4439895,18.6126586069893,16.3605061260807
HUHJAW,-0.1884503,-0.2777686,15.4098912180349,6.58426879532307
HUTTIA,-0.5877958,-1.627866,20.0358605168479,12.4759603284267
IBICAZ,-0.41076273,-0.93927526,16.1508257900244,9.26835182183561
IBICED,-0.37833,-0.87144923,15.2690669394843,9.06726394913045
IBICON,-0.37810248,-0.85427856,15.2625133110053,9.09180998488869
IBIDAA,-0.37770733,-0.8767352,15.1876486100845,8.78638972969114
IBUDOZ,0.066348456,0.033907175,34.0005385413958,17.1835128427649
ICANAD,-0.5704203,-0.32731462,22.3147386371941,8.70883141704341
ICANEH,-0.5736485,-0.22805643,22.5854148726242,9.02084629467918
IGOCOX,0.084360845,-1.2278678,33.5174843839063,15.7389569120973
IJENER,-0.40120393,-0.415596,13.0270759394457,10.7202023948517
ILOJEZ,-0.27493256,-0.29929972,19.5441298884709,12.053904956655
IMACZN01,-0.90785545,-1.6232159,23.2658864160361,14.9907818609975
IQUNAJ,-2.1431386,-1.8815138,26.9864295968113,11.1628913848025
IQUNAJ01,-2.1434143,-1.8790996,26.9968317204976,11.1682977604118
