,mof,conc,p,ad,q,std,heat,status
147,GULPIN_clean_min_charges,0_0.05,500000,ethane,1.2255034068,0.0146371313,-31.89968,finished
148,GULPIN_clean_min_charges,0_0.05,750000,ethane,1.2936852199,0.0114911262,-31.77729,finished
149,GULPIN_clean_min_charges,0_0.05,1000000,ethane,1.3142727496,0.0071672654,-31.58599,finished
150,GULPIN_clean_min_charges,0_0.04,1,ethene,3.31548e-05,8.064e-06,-27.79418,finished
151,GULPIN_clean_min_charges,0_0.04,10,ethene,0.0003427175,1.80491e-05,-27.48802,finished
152,GULPIN_clean_min_charges,0_0.04,100,ethene,0.0033733313,9.62663e-05,-27.40081,finished
153,GULPIN_clean_min_charges,0_0.04,1000,ethene,0.0330569721,0.0004402827,-27.4589,finished
154,GULPIN_clean_min_charges,0_0.04,5000,ethene,0.1493919371,0.0017360911,-27.63803,finished
155,GULPIN_clean_min_charges,0_0.04,10000,ethene,0.2650411463,0.0016666201,-27.79443,finished
156,GULPIN_clean_min_charges,0_0.04,25000,ethene,0.5043708911,0.0065166642,-28.12652,finished
157,GULPIN_clean_min_charges,0_0.04,50000,ethene,0.726412502,0.0081194197,-28.21541,finished
158,GULPIN_clean_min_charges,0_0.04,66700,ethene,0.8197986897,0.0050978851,-28.31329,finished
159,GULPIN_clean_min_charges,0_0.04,75000,ethene,0.8606840513,0.004108199,-28.39258,finished
160,GULPIN_clean_min_charges,0_0.04,100000,ethene,0.9419584818,0.0051963648,-28.34492,finished
161,GULPIN_clean_min_charges,0_0.04,250000,ethene,1.167365383,0.0042339575,-27.9618,finished
162,GULPIN_clean_min_charges,0_0.04,500000,ethene,1.2774017161,0.0101856963,-27.59385,finished
163,GULPIN_clean_min_charges,0_0.04,750000,ethene,1.3186784584,0.0060616457,-27.21431,finished
164,GULPIN_clean_min_charges,0_0.04,1000000,ethene,1.3331520817,0.0044624062,-26.44561,finished
165,GULPIN_clean_min_charges,0_0.04,1,ethane,0.0001043256,1.04686e-05,-31.21894,finished
166,GULPIN_clean_min_charges,0_0.04,10,ethane,0.0011092719,6.81654e-05,-31.41213,finished
167,GULPIN_clean_min_charges,0_0.04,100,ethane,0.0110100926,0.0002632201,-31.44545,finished
168,GULPIN_clean_min_charges,0_0.04,1000,ethane,0.1018356667,0.0019338685,-31.72127,finished
169,GULPIN_clean_min_charges,0_0.04,5000,ethane,0.3661008815,0.0030326098,-32.40177,finished
170,GULPIN_clean_min_charges,0_0.04,10000,ethane,0.551754074,0.004223464,-32.67753,finished
171,GULPIN_clean_min_charges,0_0.04,25000,ethane,0.8256559912,0.0016757647,-32.84781,finished
172,GULPIN_clean_min_charges,0_0.04,50000,ethane,1.0181283653,0.0094451799,-32.98859,finished
173,GULPIN_clean_min_charges,0_0.04,66700,ethane,1.078556859,0.007110573,-32.92123,finished
174,GULPIN_clean_min_charges,0_0.04,75000,ethane,1.1100869005,0.0117241188,-32.80227,finished
175,GULPIN_clean_min_charges,0_0.04,100000,ethane,1.1616759382,0.0054979964,-32.66945,finished
176,GULPIN_clean_min_charges,0_0.04,250000,ethane,1.2915302696,0.0072987948,-32.20501,finished
177,GULPIN_clean_min_charges,0_0.04,500000,ethane,1.3339523882,0.0050965082,-31.4375,finished
178,GULPIN_clean_min_charges,0_0.04,750000,ethane,1.3394527994,0.0031187882,-30.99572,finished
179,GULPIN_clean_min_charges,0_0.04,1000000,ethane,1.3398832177,0.0052763003,-30.04464,finished
180,GULPIN_clean_min_charges,0_0.08,1,ethene,,,,Nosubmission
181,GULPIN_clean_min_charges,0_0.08,10,ethene,,,,Nosubmission
182,GULPIN_clean_min_charges,0_0.08,100,ethene,,,,Nosubmission
183,GULPIN_clean_min_charges,0_0.08,1000,ethene,,,,Nosubmission
184,GULPIN_clean_min_charges,0_0.08,5000,ethene,,,,Nosubmission
185,GULPIN_clean_min_charges,0_0.08,10000,ethene,,,,Nosubmission
186,GULPIN_clean_min_charges,0_0.08,25000,ethene,,,,Nosubmission
187,GULPIN_clean_min_charges,0_0.08,50000,ethene,,,,Nosubmission
188,GULPIN_clean_min_charges,0_0.08,66700,ethene,,,,Nosubmission
189,GULPIN_clean_min_charges,0_0.08,75000,ethene,,,,Nosubmission
190,GULPIN_clean_min_charges,0_0.08,100000,ethene,,,,Nosubmission
191,GULPIN_clean_min_charges,0_0.08,250000,ethene,,,,Nosubmission
192,GULPIN_clean_min_charges,0_0.08,500000,ethene,,,,Nosubmission
193,GULPIN_clean_min_charges,0_0.08,750000,ethene,,,,Nosubmission
194,GULPIN_clean_min_charges,0_0.08,1000000,ethene,,,,Nosubmission
195,GULPIN_clean_min_charges,0_0.08,1,ethane,,,,Nosubmission
196,GULPIN_clean_min_charges,0_0.08,10,ethane,,,,Nosubmission
197,GULPIN_clean_min_charges,0_0.08,100,ethane,,,,Nosubmission
